Month,Total_Renewable_Generation_MWh,Year
1,11308884.0,2001
2,10402468.0,2001
3,11644730.0,2001
4,11867703.0,2001
5,11668602.0,2001
6,11928936.0,2001
7,12397229.0,2001
8,12117061.0,2001
9,11322808.0,2001
10,11932774.0,2001
11,11277756.0,2001
12,12234976.0,2001
1,13329430.0,2002
2,11729003.0,2002
3,13395379.0,2002
4,13203001.0,2002
5,14162803.0,2002
6,14298850.0,2002
7,14122712.0,2002
8,14400022.0,2002
9,12865283.0,2002
10,12729084.0,2002
11,12241209.0,2002
12,13080441.0,2002
1,12871850.0,2003
2,12156321.0,2003
3,14354244.0,2003
4,14310045.0,2003
5,13905602.0,2003
6,14238748.0,2003
7,14342171.0,2003
8,13672766.0,2003
9,13606881.0,2003
10,13493449.0,2003
11,13590505.0,2003
12,15152221.0,2003
1,14228877.0,2004
2,13835289.0,2004
3,15294185.0,2004
4,14989519.0,2004
5,17073512.0,2004
6,15710932.0,2004
7,15073931.0,2004
8,14545760.0,2004
9,14066076.0,2004
10,14214446.0,2004
11,13608775.0,2004
12,14859874.0,2004
1,14648237.0,2005
2,12611618.0,2005
3,16171230.0,2005
4,16428724.0,2005
5,17447563.0,2005
6,17496460.0,2005
7,16299475.0,2005
8,14959369.0,2005
9,15896050.0,2005
10,15595079.0,2005
11,16478041.0,2005
12,17658928.0,2005
1,20001739.0,2006
2,17212512.0,2006
3,19857048.0,2006
4,19311022.0,2006
5,19702565.0,2006
6,18315927.0,2006
7,18461931.0,2006
8,17332136.0,2006
9,17624942.0,2006
10,20199367.0,2006
11,20427002.0,2006
12,20576610.0,2006
1,20474576.0,2007
2,19369990.0,2007
3,22497171.0,2007
4,22333194.0,2007
5,21823073.0,2007
6,21004122.0,2007
7,19407243.0,2007
8,21573928.0,2007
9,21938609.0,2007
10,24266935.0,2007
11,22924566.0,2007
12,24833370.0,2007
1,27554932.0,2008
2,25211570.0,2008
3,30021092.0,2008
4,31787689.0,2008
5,32296426.0,2008
6,31610263.0,2008
7,27582320.0,2008
8,24266463.0,2008
9,23087130.0,2008
10,30091494.0,2008
11,30704931.0,2008
12,37533039.0,2008
1,34808135.0,2009
2,33509627.0,2009
3,39809952.0,2009
4,40888549.0,2009
5,36077470.0,2009
6,33466483.0,2009
7,31355306.0,2009
8,33277894.0,2009
9,29475013.0,2009
10,38271563.0,2009
11,38883045.0,2009
12,39526546.0,2009
1,38675766.0,2010
2,31892550.0,2010
3,45949366.0,2010
4,50251421.0,2010
5,46338814.0,2010
6,43757845.0,2010
7,38550327.0,2010
8,38499836.0,2010
9,39731038.0,2010
10,42851483.0,2010
11,50501152.0,2010
12,48155096.0,2010
1,45665853.07,2011
2,52388083.55,2011
3,53805339.34,2011
4,60668491.41,2011
5,58627956.15,2011
6,55340337.2,2011
7,41805478.62,2011
8,41778406.57,2011
9,38749959.7,2011
10,53764122.0,2011
11,61592542.92,2011
12,54862182.32,2011
1,65987191.08,2012
2,54997117.57,2012
3,67740274.84,2012
4,62163065.55,2012
5,61992818.55,2012
6,59445287.98,2012
7,47453688.089999996,2012
8,45993223.86,2012
9,46862969.769999996,2012
10,62722359.03,2012
11,58718586.18,2012
12,70752080.18,2012
1,71234631.49,2013
2,67258864.55,2013
3,75564068.42,2013
4,81723881.17,2013
5,77310468.35,2013
6,67013272.47,2013
7,56911048.89,2013
8,51215122.21,2013
9,58756593.66,2013
10,66916138.0,2013
11,75196441.42999999,2013
12,68679107.39,2013
1,84749916.94,2014
2,66929152.51,2014
3,83821125.16,2014
4,87568885.28,2014
5,74802235.86,2014
6,75258443.92,2014
7,61505939.809999995,2014
8,53771921.08,2014
9,58392668.86,2014
10,71123908.14,2014
11,89107668.27,2014
12,71723692.03,2014
1,72995324.0,2015
2,70823296.0,2015
3,73656840.0,2015
4,83475333.0,2015
5,81360987.0,2015
6,66027806.0,2015
7,68083813.0,2015
8,65382386.0,2015
9,67919668.0,2015
10,78184904.0,2015
11,91669156.0,2015
12,93778465.0,2015
1,86371818.0,2016
2,92359658.0,2016
3,100255145.0,2016
4,95279032.0,2016
5,88394999.0,2016
6,77397200.0,2016
7,83079927.0,2016
8,67095593.0,2016
9,77947810.0,2016
10,93526648.0,2016
11,90642973.0,2016
12,106175594.0,2016
1,96412514.0,2017
2,100108402.0,2017
3,115861485.0,2017
4,113843410.0,2017
5,104877174.0,2017
6,92888067.0,2017
7,77265913.0,2017
8,68266941.0,2017
9,83783296.0,2017
10,109242722.0,2017
11,102897574.0,2017
12,101909954.0,2017
1,115026956.0,2018
2,104718598.0,2018
3,118608890.0,2018
4,117377966.0,2018
5,108269234.0,2018
6,110890753.0,2018
7,78264869.0,2018
8,91884049.0,2018
9,85748546.0,2018
10,96841492.0,2018
11,100283490.0,2018
12,110206606.0,2018
1,109242125.0,2019
2,101347406.0,2019
3,114898149.0,2019
4,126469459.0,2019
5,114403329.0,2019
6,101178545.0,2019
7,100140505.0,2019
8,91919426.0,2019
9,109379174.0,2019
10,120941404.0,2019
11,110203740.0,2019
12,117247176.0,2019
1,123692451.0,2020
2,127411574.0,2020
3,129725970.0,2020
4,130755104.0,2020
5,125317179.0,2020
6,131771688.0,2020
7,102955760.0,2020
8,103652668.0,2020
9,103827452.0,2020
10,126396897.0,2020
11,143923369.0,2020
12,139851583.0,2020
1,132008716.0,2021
2,117606574.0,2021
3,168083464.0,2021
4,155644126.0,2021
5,146540680.0,2021
6,117673566.0,2021
7,98252389.0,2021
8,119510346.0,2021
9,127110351.0,2021
10,139895475.0,2021
11,154039096.0,2021
12,171479596.0,2021
1,161272808.0,2022
2,160772504.0,2022
3,182972899.0,2022
4,195164486.0,2022
5,179285937.0,2022
